ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,declaration_time,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner,labPct,conPct,labPct15,conPct15,labChg,conChg,conLabSwing
N06000015,N92000002,South Down,Northern Ireland,Northern Ireland,Northern Ireland,County,09/06/2017 03:15,SF gain from SDLP,SF,SDLP,75685,50893,189,2446,0,0,0,0,0,0,0,8867,20328,17882,2002,1814,0,0,0,0,0,0.00744783,0,-0.00744783,0.003723915
E14000937,E12000006,South East Cambridgeshire,Cambridgeshire,East,England,County,09/06/2017 04:37,Con hold,Con,Lab,86121,63002,226,16158,33601,17443,11958,0,0,0,0,0,0,0,0,0,0,0,0.276864227,0.533332275,0.151463718,0.484741035,0.125400509,0.048591241,0.038404634
E14000938,E12000009,South East Cornwall,Cornwall,South West,England,County,09/06/2017 09:22,Con hold,Con,Lab,71880,53224,133,17443,29493,12050,10346,0,1335,0,0,0,0,0,0,0,0,0,0.226401623,0.554129716,0.092914571,0.505287338,0.133487052,0.048842378,0.042322337
E14000957,E12000006,Southend West,Essex,East,England,Borough,09/06/2017 02:28,Con hold,Con,Lab,67677,47191,101,10000,26046,16046,2110,1666,831,0,0,0,0,0,0,0,492,0,0.340022462,0.551927274,0.183198904,0.498213844,0.156823558,0.05371343,0.051555064
E14000939,E12000004,South Holland and The Deepings,Lincolnshire,East Midlands,England,County,09/06/2017 02:50,Con hold,Con,Lab,76374,50315,84,24897,35179,10282,1433,2185,894,0,0,0,0,0,0,0,342,0,0.204352579,0.699175196,0.124413193,0.595504705,0.079939386,0.103670492,-0.011865553
E14000940,E12000004,South Leicestershire,Leicestershire,East Midlands,England,County,09/06/2017 04:20,Con hold,Con,Lab,78985,56689,112,18631,34795,16164,2403,2235,1092,0,0,0,0,0,0,0,0,0,0.285134682,0.613787507,0.220227719,0.532210807,0.064906963,0.0815767,-0.008334869
E14000941,E12000006,South Norfolk,Norfolk,East,England,County,09/06/2017 01:47,Con hold,Con,Lab,83055,61111,182,16678,35580,18902,5074,0,1555,0,0,0,0,0,0,0,0,0,0.309306017,0.58221924,0.183848887,0.542601054,0.125457129,0.039618187,0.042919471
E14000942,E12000004,South Northamptonshire,Northamptonshire,East Midlands,England,County,09/06/2017 03:43,Con hold,Con,Lab,85759,64998,125,22840,40599,17759,3623,1363,1357,0,0,0,0,0,0,0,297,0,0.273223792,0.624619219,0.167444382,0.601475469,0.105779409,0.02314375,0.04131783
E14000958,E12000002,Southport,Merseyside,North West,England,Borough,09/06/2017 02:29,Con gain from LD,Con,Lab,69400,47956,63,2914,18541,15627,12661,1127,0,0,0,0,0,0,0,0,0,0,0.325861206,0.38662524,0.192013787,0.279585497,0.13384742,0.107039743,0.013403838
E14000943,E12000002,South Ribble,Lancashire,North West,England,County,09/06/2017 03:10,Con hold,Con,Lab,75752,54834,92,7421,28980,21559,2073,1387,494,0,0,0,0,0,0,0,341,0,0.393168472,0.528504213,0.350735154,0.464254344,0.042433318,0.064249869,-0.010908275
